Date,Sensor Log,Tempature (°C),Tempature (°F),Heat Index (°C),Heat Index (°F),Humidity (%),Air Quality (ppm),Light Intensity (lux),Pressure (hPa),Fire Status,Activity Status
"Saturday,09-December-2023||17:08:19",29,32.1,89.78,41,105.81,70.8,3.09,101.38,1006.96,0,0
"Saturday,09-December-2023||17:08:25",30,32.1,89.78,41.04,105.87,70.9,3.77,101.78,1006.96,0,0
"Saturday,09-December-2023||17:08:30",31,32.1,89.78,40.97,105.74,70.7,3.41,102.1,1006.97,0,1
"Saturday,09-December-2023||17:08:36",32,32.1,89.78,41.12,106.01,71.1,3.17,102.17,1006.97,0,0
"Saturday,09-December-2023||17:08:41",33,32.1,89.78,40.97,105.74,70.7,3.11,101.82,1006.98,0,0
"Saturday,09-December-2023||17:08:47",34,32.1,89.78,41.15,106.08,71.2,3.17,101.38,1006.99,0,0
"Saturday,09-December-2023||17:08:52",35,32.1,89.78,40.93,105.67,70.6,2.98,101.58,1007,0,0
"Saturday,09-December-2023||17:08:58",36,32.1,89.78,41,105.81,70.8,3.01,102.15,1006.99,0,0
"Saturday,09-December-2023||17:09:03",37,32.1,89.78,40.89,105.6,70.5,3.07,102,1006.99,0,0
"Saturday,09-December-2023||17:09:09",38,32.1,89.78,41,105.81,70.8,2.94,102.37,1006.99,0,0
"Saturday,09-December-2023||17:09:15",39,32.2,89.96,41.27,106.28,70.7,2.96,101.02,1006.99,0,1
"Saturday,09-December-2023||17:09:21",40,32.2,89.96,41.27,106.28,70.7,3.05,102.61,1007,0,0
"Saturday,09-December-2023||17:09:26",41,32.1,89.78,40.97,105.74,70.7,2.84,102.22,1007,0,1
"Saturday,09-December-2023||17:09:32",42,32.2,89.96,41.19,106.14,70.5,2.96,102.41,1007,0,0
"Saturday,09-December-2023||17:09:38",43,32.2,89.96,41.34,106.42,70.9,2.9,101.7,1006.99,0,1
"Saturday,09-December-2023||17:09:43",44,32.2,89.96,41.15,106.08,70.4,2.92,102.34,1007.01,0,0
